case,path,elapsedMs,value,canonicalValue,unit
baseline,core.fissionPowerMw,104000,2707.132002650948,2707.132002650948,MW
baseline,core.fissionPowerMw,105000,2707.1153269087536,2707.1153269087536,MW
baseline,core.fissionPowerMw,106000,2707.099541494957,2707.099541494957,MW
baseline,core.fissionPowerMw,107000,2707.0846003118054,2707.0846003118054,MW
baseline,core.fissionPowerMw,108000,2707.070459659939,2707.070459659939,MW
baseline,core.fissionPowerMw,109000,2707.0570781120514,2707.0570781120514,MW
baseline,core.fissionPowerMw,110000,2707.0444163933867,2707.0444163933867,MW
baseline,core.fissionPowerMw,111000,2707.03243726868,2707.03243726868,MW
baseline,core.fissionPowerMw,112000,2707.021105435181,2707.021105435181,MW
baseline,core.fissionPowerMw,113000,2707.0103874214124,2707.0103874214124,MW
baseline,core.fissionPowerMw,114000,2707.00025149134,2707.00025149134,MW
baseline,core.fissionPowerMw,115000,2706.9906675536604,2706.9906675536604,MW
baseline,core.fissionPowerMw,116000,2706.9816070759125,2706.9816070759125,MW
baseline,core.fissionPowerMw,117000,2706.9730430031495,2706.9730430031495,MW
baseline,core.fissionPowerMw,118000,2706.964949680924,2706.964949680924,MW
baseline,core.fissionPowerMw,119000,2706.957302782345,2706.957302782345,MW
baseline,core.fissionPowerMw,120000,2706.950079238989,2706.950079238989,MW
baseline,core.fissionPowerMw,121000,2706.9432571754464,2706.9432571754464,MW
baseline,core.fissionPowerMw,122000,2706.9368158473203,2706.9368158473203,MW
baseline,core.fissionPowerMw,123000,2706.930735582479,2706.930735582479,MW
baseline,core.fissionPowerMw,124000,2706.924997725394,2706.924997725394,MW
baseline,core.fissionPowerMw,125000,2706.9195845843947,2706.9195845843947,MW
baseline,core.fissionPowerMw,126000,2706.914479381683,2706.914479381683,MW
baseline,core.fissionPowerMw,127000,2706.9096662059665,2706.9096662059665,MW
baseline,core.fissionPowerMw,128000,2706.9051299675607,2706.9051299675607,MW
baseline,core.fissionPowerMw,129000,2706.9008563558377,2706.9008563558377,MW
baseline,core.fissionPowerMw,130000,2706.8968317988924,2706.8968317988924,MW
baseline,core.fissionPowerMw,131000,2706.8930434253125,2706.8930434253125,MW
baseline,core.fissionPowerMw,132000,2706.8894790279355,2706.8894790279355,MW
baseline,core.fissionPowerMw,133000,2706.8861270294933,2706.8861270294933,MW
baseline,core.fissionPowerMw,134000,2706.8829764500424,2706.8829764500424,MW
baseline,core.fissionPowerMw,135000,2706.8800168760854,2706.8800168760854,MW
baseline,core.fissionPowerMw,136000,2706.8772384312983,2706.8772384312983,MW
baseline,core.fissionPowerMw,137000,2706.874631748771,2706.874631748771,MW
